id,nom,website,user_id,siteweb_V2,siteweb_V3
279,Galerie de LOCH,,1,,rien
280,Wohnmaschine,,1,,rien
281,Giannozzo Kunstverein,www.floraberlin.de/giannozzo/prog.htm,1,https://www.floraberlin.de/giannozzo/prog.htm,https://www.floraberlin.de/giannozzo/prog.htm
282,Nürnberger Eck,,1,,rien
283,Paranorm,www.paranorm.de,1,https://www.paranorm.de,https://www.paranorm.de
284,Das Dasein an sich,,1,,rien
285,Galerie Loulou Lasard,,1,,rien
286,o zwei,www.ozwei.net/index.html,1,https://www.ozwei.net/index.html,https://www.ozwei.net/index.html
287,ACUD,www.acud.de,1,https://www.acud.de,https://www.acud.de
288,Künstlerhaus am Acker,25-jahre.kuenstlerhaus-am-acker.de,1,https://25-jahre.kuenstlerhaus-am-acker.de,https://25-jahre.kuenstlerhaus-am-acker.de
289,Allgirls,allgirls-berlin.org/chronur.html,1,https://allgirls-berlin.org/chronur.html,https://allgirls-berlin.org/chronur.html
290,Botschaft,www.botschaft-berlin.org/en/texts/strategyandparty,1,https://www.botschaft-berlin.org/en/texts/strategyandparty,https://www.botschaft-berlin.org/en/texts/strategyandparty
291,Flutgraben e.V,flutgraben.org,1,https://flutgraben.org,https://flutgraben.org
292,Kunstpunkt,www.kunstpunkt.com/pages/galerie_fr.htm,1,https://www.kunstpunkt.com/pages/galerie_fr.htm,https://www.kunstpunkt.com/pages/galerie_fr.htm
293,Espacio O,www.espacioo.com,1,https://www.espacioo.com,https://www.espacioo.com
294,La Jetée,www.la-jetee.fr,1,https://www.la-jetee.fr,https://www.la-jetee.fr
295,DISPLAY,www.spaziodisplay.com,1,https://www.spaziodisplay.com,https://www.spaziodisplay.com
296,MUCHO MAS !,www.muchomas.gallery,6,https://www.muchomas.gallery,https://www.muchomas.gallery
297,CAMPO,www.facebook.com/associazionecampo/,1,https://www.facebook.com/associazionecampo/,https://www.facebook.com/associazionecampo/
298,New Media Society,newmediasoc.com,1,https://newmediasoc.com,https://newmediasoc.com
299,A4 Sounds,a4sounds.org,1,https://a4sounds.org,https://a4sounds.org
